path,pred_label,confidence,p(Portraits),p(Protests),p(Casualities),p(Posts)
/content/drive/MyDrive/Data/Predict/453903452_17986806305701033_3923079021603351010_n.jpg,notlabeled,0.7336,0.0956,0.1026,0.0682,0.7336
/content/drive/MyDrive/Data/Predict/467854640_17880255699187556_6447570369506764340_n.jpg,notlabeled,0.4264,0.0979,0.1947,0.281,0.4264
/content/drive/MyDrive/Data/Predict/453770598_1225436471807730_6789294533051279030_n.jpg,notlabeled,0.6455,0.6455,0.0702,0.065,0.2194
/content/drive/MyDrive/Data/Predict/467486800_17889257439110482_6254727049274748628_n.jpg,notlabeled,0.5507,0.0877,0.0749,0.5507,0.2867
/content/drive/MyDrive/Data/Predict/454016380_991039519233246_5005119533151320016_n.jpg,notlabeled,0.4247,0.1837,0.2495,0.142,0.4247
/content/drive/MyDrive/Data/Predict/453848764_995645558926860_8530820415234552030_n.jpg,notlabeled,0.7461,0.7461,0.0605,0.0667,0.1268
/content/drive/MyDrive/Data/Predict/453596611_1169111384303328_8739071460917772374_n.webp,notlabeled,0.66,0.0883,0.66,0.1735,0.0782
/content/drive/MyDrive/Data/Predict/453877849_1351765292447269_897342874321407832_n.webp,notlabeled,0.3812,0.1607,0.3812,0.27,0.188
/content/drive/MyDrive/Data/Predict/453945671_497707466002218_5012169167502610083_n.heic,notlabeled,0.4354,0.3259,0.0757,0.163,0.4354
/content/drive/MyDrive/Data/Predict/454154136_339637405883233_1589534995925203688_n.jpg,notlabeled,0.4142,0.2889,0.124,0.4142,0.1729
/content/drive/MyDrive/Data/Predict/453768423_1601188267443446_1052511206595851022_n.jpg,notlabeled,0.7252,0.0514,0.1414,0.082,0.7252
/content/drive/MyDrive/Data/Predict/454129803_502599452458548_897291378990795217_n.jpg,notlabeled,0.6198,0.0694,0.6198,0.1916,0.1192
/content/drive/MyDrive/Data/Predict/453684248_7843045292479730_2255499343061010065_n.webp,notlabeled,0.4538,0.4538,0.1625,0.2016,0.1821
/content/drive/MyDrive/Data/Predict/453862223_1010145667449501_8630964152002650806_n.jpg,notlabeled,0.6747,0.6747,0.1192,0.1041,0.102
